Level,Name,Parts,Wraps,West,South,East,North,AreaKm2,Part1Area,Part1West,Part1South,Part1East,Part1North,Part2Area,Part2West,Part2South,Part2East,Part2North,Part3Area,Part3West,Part3South,Part3East,Part3North,Part4Area,Part4West,Part4South,Part4East,Part4North,Part5Area,Part5West,Part5South,Part5East,Part5North
Physical Range/mtn,Loma Mts.,1,false,-11.876,7.951,-10.116,9.527,23423.6,23423.6,-11.876,7.951,-10.116,9.527,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Lüliang Mts.,1,false,111.136,34.717,113.034,41.012,85487.0,85487.0,111.136,34.717,113.034,41.012,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,MACKENZIE MTS.,1,false,-137.355,59.337,-123.155,65.947,311608.0,311608.0,-137.355,59.337,-123.155,65.947,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,MITUMBA MTS.,1,false,28.01,-5.476,31.354,2.718,64737.4,64737.4,28.01,-5.476,31.354,2.718,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,MacDonnell Ranges,1,false,130.251,-23.829,135.532,-22.938,36679.0,36679.0,130.251,-23.829,135.532,-22.938,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Maoke Mts.,1,false,135.458,-4.829,140.713,-2.892,69113.1,69113.1,135.458,-4.829,140.713,-2.892,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Marrah Mts.,1,false,23.503,12.392,27.588,16.15,86424.4,86424.4,23.503,12.392,27.588,16.15,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Maya Mts.,1,false,-89.665,16.111,-88.307,17.253,10360.3,10360.3,-89.665,16.111,-88.307,17.253,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Mbang Mts.,1,false,12.99,6.712,15.664,8.38,16785.5,16785.5,12.99,6.712,15.664,8.38,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Mogollon Rim,1,false,-111.928,33.537,-109.281,35.033,24945.8,24945.8,-111.928,33.537,-109.281,35.033,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Momskiy Mts.,1,false,142.651,64.66,149.671,67.426,34982.8,34982.8,142.651,64.66,149.671,67.426,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Moyen Atlas,1,false,-5.672,32.756,-3.408,34.298,22075.6,22075.6,-5.672,32.756,-3.408,34.298,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Muchinga Mts.,1,false,26.652,-17.735,32.703,-10.908,78831.4,78831.4,26.652,-17.735,32.703,-10.908,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,NEW GUINEA HIGHLANDS,1,false,135.443,-9.877,149.166,-2.925,221356.0,221356.0,135.443,-9.877,149.166,-2.925,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Naga Hills,1,false,93.3,23.337,95.92,27.294,52297.8,52297.8,93.3,23.337,95.92,27.294,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Nan Ling Mts.,1,false,109.422,23.262,114.12,25.87,94148.8,94148.8,109.422,23.262,114.12,25.87,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Napier Mountains,1,false,53.255,-67.239,56.044,-66.068,12775.8,12775.8,53.255,-67.239,56.044,-66.068,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Ogilvie Mts.,1,false,-141.0,63.646,-135.158,65.102,24659.2,24659.2,-141.0,63.646,-135.158,65.102,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Ogo Mts.,1,false,44.546,9.559,51.214,11.972,58265.0,58265.0,44.546,9.559,51.214,11.972,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Ouachita Mts.,1,false,-96.0,33.563,-92.307,35.5,49049.1,49049.1,-96.0,33.563,-92.307,35.5,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Owen Stanley Ra.,1,false,146.737,-10.243,149.903,-7.609,28441.1,28441.1,146.737,-10.243,149.903,-7.609,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,PAMIRS,1,false,71.204,37.083,77.033,39.56,98704.8,98704.8,71.204,37.083,77.033,39.56,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,PONTIC MOUNTAINS,1,false,34.051,40.143,42.027,41.92,54929.9,54929.9,34.051,40.143,42.027,41.92,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,PYRENEES,1,false,-2.287,41.955,3.181,43.475,38960.9,38960.9,-2.287,41.955,3.181,43.475,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Paropamisus Ra.,1,false,61.503,34.285,66.676,35.322,34589.5,34589.5,61.503,34.285,66.676,35.322,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Pensacola Mountains,1,false,-61.709,-85.167,-46.763,-81.895,32568.0,32568.0,-61.709,-85.167,-46.763,-81.895,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Pindus Mts.,1,false,19.933,38.45,22.121,41.506,28891.3,28891.3,19.933,38.45,22.121,41.506,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Prince Albert Mountains,1,false,159.83,-77.328,162.484,-75.839,8285.39,8285.39,159.83,-77.328,162.484,-75.839,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Prince Charles Mountains,1,false,63.687,-73.943,69.029,-70.318,26494.9,26494.9,63.687,-73.943,69.029,-70.318,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,QUILIAN MOUNTAINS,1,false,94.345,36.046,102.96,40.141,184137.0,184137.0,94.345,36.046,102.96,40.141,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Qinling Mountains,1,false,105.027,32.525,114.205,34.858,135006.0,135006.0,105.027,32.525,114.205,34.858,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Queen Alexandra Range,1,false,164.023,-84.822,171.259,-83.478,7962.15,7962.15,164.023,-84.822,171.259,-83.478,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Queen Maud Mountains,1,false,168.401,-86.959,180.0,-83.678,26688.4,26688.4,168.401,-86.959,180.0,-83.678,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Queen Maude Mountains,1,false,-180.0,-87.084,-148.874,-84.337,43440.8,43440.8,-180.0,-87.084,-148.874,-84.337,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,ROCKY MOUNTAINS,1,false,-127.195,35.27,-104.122,59.711,1.0796e6,1.0796e6,-127.195,35.27,-104.122,59.711,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Ruwenzori Range,1,false,29.672,-0.074,30.454,1.179,6145.35,6145.35,29.672,-0.074,30.454,1.179,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,S. Dourada,1,false,-51.194,-16.385,-48.703,-11.443,64947.8,64947.8,-51.194,-16.385,-48.703,-11.443,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,S. Nevada,1,false,-4.714,36.831,-1.97,37.921,22493.1,22493.1,-4.714,36.831,-1.97,37.921,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,S. de Pakaraima,1,false,-64.988,2.979,-59.905,5.022,55766.4,55766.4,-64.988,2.979,-59.905,5.022,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,S. do Cachimbo,1,false,-57.883,-10.565,-53.895,-6.189,105069.0,105069.0,-57.883,-10.565,-53.895,-6.189,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,S. do Piaui,1,false,-44.751,-9.948,-41.548,-8.095,31689.2,31689.2,-44.751,-9.948,-41.548,-8.095,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,S. dos Gradaús,1,false,-52.1,-11.09,-49.327,-5.758,80782.7,80782.7,-52.1,-11.09,-49.327,-5.758,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,SELWYN MTS.,1,false,-134.206,59.457,-123.425,64.592,118359.0,118359.0,-134.206,59.457,-123.425,64.592,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,SIERRA MADRE OCCIDENTAL,1,false,-110.764,20.766,-102.222,31.143,306406.0,306406.0,-110.764,20.766,-102.222,31.143,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,SIERRA MADRE ORIENTAL,1,false,-103.409,20.162,-97.772,29.85,206137.0,206137.0,-103.409,20.162,-97.772,29.85,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,SIERRA NEVADA,1,false,-121.787,34.873,-117.88,40.589,70057.6,70057.6,-121.787,34.873,-117.88,40.589,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,SIKHOTE-ALIN’ RANGE,1,false,132.515,42.827,140.56,51.502,167961.0,167961.0,132.515,42.827,140.56,51.502,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,SOUTHERN ALPS,2,false,166.765,-46.024,173.302,-41.406,44428.4,44370.4,166.765,-46.024,173.302,-41.406,58.076,166.91,-45.3,167.023,-45.179,,,,,,,,,,,,,,,
Physical Range/mtn,SREDINNYY RANGE,1,false,156.89,53.358,163.995,60.722,64016.9,64016.9,156.89,53.358,163.995,60.722,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,STANOVOY RANGE,1,false,123.101,54.314,138.135,57.396,215019.0,215019.0,123.101,54.314,138.135,57.396,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Salmon River Mts.,1,false,-116.36,44.12,-113.871,45.585,24333.5,24333.5,-116.36,44.12,-113.871,45.585,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Salt Ra.,1,false,72.626,32.905,75.266,34.158,28269.3,28269.3,72.626,32.905,75.266,34.158,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Satpura Range,1,false,74.859,21.064,80.017,22.978,63919.5,63919.5,74.859,21.064,80.017,22.978,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Scott Mountains,1,false,49.27,-67.917,51.291,-67.281,4626.75,4626.75,49.27,-67.917,51.291,-67.281,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Selwyn Ra.,1,false,139.132,-21.676,141.209,-19.858,16045.1,16045.1,139.132,-21.676,141.209,-19.858,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Serra Acaraí,1,false,-60.096,0.768,-57.45,1.96,28197.5,28197.5,-60.096,0.768,-57.45,1.96,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Serra Geral,1,false,-54.114,-29.817,-49.168,-23.173,256494.0,256494.0,-54.114,-29.817,-49.168,-23.173,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Serra da Ibiapaba,1,false,-41.479,-6.79,-40.207,-3.138,34089.6,34089.6,-41.479,-6.79,-40.207,-3.138,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Serra da Mantiqueira,1,false,-49.346,-24.641,-41.231,-21.059,108045.0,108045.0,-49.346,-24.641,-41.231,-21.059,,,,,,,,,,,,,,,,,,,,
Physical Range/mtn,Serra de Curupira,1,false,-66.398,0.28,-62.993,2.615,50321.0,50321.0,-66.398,0.28,-62.993,2.615,,,,,,,,,,,,,,,,,,,,
